ticket_id,received_date,category,priority,status,resolution_hours,satisfaction,summary
V056,2026-08-16,앱,high,resolved,43,2,검색 결과 화면 전환이 느림
V057,2026-08-10,결제,low,resolved,6,4,결제 완료 후 영수증 발급 지연
V058,2026-08-11,로그인,medium,resolved,13,4,휴면 해제 후 로그인 차단
V059,2026-08-12,배송,medium,resolved,20,4,예정일이 지나도 상품이 도착하지 않음
V060,2026-08-13,환불,high,open,,,반품 완료 후 환불 처리 대기
V061,2026-08-14,계정,medium,resolved,34,3,프로필 이름 변경이 화면에 미반영
V062,2026-08-15,쿠폰,medium,resolved,41,2,만료 전 쿠폰이 사용할 수 없음으로 표시
V063,2026-08-16,상품,high,resolved,4,4,옵션 선택 시 가격이 잘못 표시됨
V064,2026-08-10,앱,medium,resolved,11,5,장바구니 수량 변경이 저장되지 않음
V065,2026-08-11,결제,medium,open,,,중복 결제 후 승인 취소 요청
V066,2026-08-12,로그인,low,resolved,25,3,비밀번호 재설정 메일 도착 지연
V067,2026-08-13,배송,medium,resolved,32,3,배송 조회 상태가 장시간 갱신되지 않음
V068,2026-08-14,환불,medium,resolved,39,2,부분 환불 금액 확인 요청
V069,2026-08-15,계정,low,resolved,46,2,회원 정보 수정 내용이 저장되지 않음
V070,2026-08-16,쿠폰,high,open,,,발급받은 쿠폰이 목록에 보이지 않음
V071,2026-08-10,상품,medium,resolved,16,4,상품 상세 설명과 실제 옵션이 다름
V072,2026-08-11,앱,low,resolved,23,5,앱 실행 직후 화면이 멈춤
V073,2026-08-12,결제,medium,resolved,30,3,간편결제 단계에서 오류 반복
V074,2026-08-13,로그인,medium,resolved,37,2,소셜 로그인 후 첫 화면으로 반복 이동
V075,2026-08-14,배송,low,open,,,출고 완료 후 배송 위치 확인 불가
V076,2026-08-15,환불,medium,resolved,7,5,환불 완료 알림 도착 지연
V077,2026-08-16,계정,high,resolved,14,4,휴대전화 번호 변경 인증 실패
V078,2026-08-10,쿠폰,low,resolved,21,4,쿠폰 사용 조건 안내가 불명확함
V079,2026-08-11,상품,medium,resolved,28,3,재고 있음 표시 후 주문이 취소됨
V080,2026-08-12,앱,high,open,,,최신 버전 업데이트 후 알림이 오지 않음
V081,2026-08-13,결제,low,resolved,42,2,할인 금액이 최종 결제에 미반영
V082,2026-08-14,로그인,medium,resolved,5,4,이중 인증 코드 수신 실패
V083,2026-08-15,배송,medium,resolved,12,4,배송지 변경 요청이 주문에 미반영
V084,2026-08-16,환불,high,resolved,19,5,취소 후 승인 금액이 남아 있음
V085,2026-08-10,계정,medium,open,,,회원 탈퇴 메뉴를 찾기 어려움
V086,2026-08-11,쿠폰,medium,resolved,33,3,쿠폰 적용 후 할인 금액이 다름
V087,2026-08-12,상품,low,resolved,40,2,상품 이미지가 일부 화면에서 보이지 않음
V088,2026-08-13,앱,medium,resolved,3,5,검색 결과 화면 전환이 느림
V089,2026-08-14,결제,medium,resolved,10,4,결제 완료 후 영수증 발급 지연
V090,2026-08-15,로그인,high,open,,,휴면 해제 후 로그인 차단
V091,2026-08-16,배송,high,resolved,24,4,예정일이 지나도 상품이 도착하지 않음
V092,2026-08-10,환불,medium,resolved,31,3,반품 완료 후 환불 처리 대기
V093,2026-08-11,계정,low,resolved,38,2,프로필 이름 변경이 화면에 미반영
V094,2026-08-12,쿠폰,medium,resolved,45,2,만료 전 쿠폰이 사용할 수 없음으로 표시
V095,2026-08-13,상품,medium,open,,,옵션 선택 시 가격이 잘못 표시됨
V096,2026-08-14,앱,low,resolved,15,5,장바구니 수량 변경이 저장되지 않음
V097,2026-08-15,결제,medium,resolved,22,4,중복 결제 후 승인 취소 요청
V098,2026-08-16,로그인,high,resolved,29,3,비밀번호 재설정 메일 도착 지연
V099,2026-08-10,배송,low,resolved,36,3,배송 조회 상태가 장시간 갱신되지 않음
V100,2026-08-11,환불,high,open,,,부분 환불 금액 확인 요청
V101,2026-08-12,계정,medium,resolved,6,4,회원 정보 수정 내용이 저장되지 않음
V102,2026-08-13,쿠폰,low,resolved,13,4,발급받은 쿠폰이 목록에 보이지 않음
V103,2026-08-14,상품,medium,resolved,20,4,상품 상세 설명과 실제 옵션이 다름
V104,2026-08-15,앱,medium,resolved,27,3,앱 실행 직후 화면이 멈춤
V105,2026-08-16,결제,high,open,,,간편결제 단계에서 오류 반복
V106,2026-08-10,로그인,medium,resolved,41,2,소셜 로그인 후 첫 화면으로 반복 이동
V107,2026-08-11,배송,medium,resolved,4,4,출고 완료 후 배송 위치 확인 불가
V108,2026-08-12,환불,low,resolved,11,5,환불 완료 알림 도착 지연
V109,2026-08-13,계정,medium,resolved,18,4,휴대전화 번호 변경 인증 실패
V110,2026-08-14,쿠폰,high,open,,,쿠폰 사용 조건 안내가 불명확함
V111,2026-08-15,상품,low,resolved,32,3,재고 있음 표시 후 주문이 취소됨
V112,2026-08-16,앱,high,resolved,39,2,최신 버전 업데이트 후 알림이 오지 않음
V113,2026-08-10,결제,medium,resolved,46,2,할인 금액이 최종 결제에 미반영
V114,2026-08-11,로그인,low,resolved,9,4,이중 인증 코드 수신 실패
V115,2026-08-12,배송,medium,open,,,배송지 변경 요청이 주문에 미반영
V116,2026-08-13,환불,medium,resolved,23,5,취소 후 승인 금액이 남아 있음
V117,2026-08-14,계정,low,resolved,30,3,회원 탈퇴 메뉴를 찾기 어려움
V118,2026-08-15,쿠폰,medium,resolved,37,2,쿠폰 적용 후 할인 금액이 다름
V119,2026-08-16,상품,high,resolved,44,2,상품 이미지가 일부 화면에서 보이지 않음
V120,2026-08-10,앱,high,open,,,검색 결과 화면 전환이 느림
